Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical
27-08-2014 11:29,37,Female,india,TN,NA,No,Yes,Often,,No,Yes,Yes,Not sure,No,Yes,,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes
27-08-2014 11:29,44,M,india,TN,NA,No,No,Rarely,,No,No,Don't know,No,Don't know,Don't know,,Don't know,Maybe,No,No,No,No,No,Don't know
27-08-2014 11:29,32,Male,india,TN,NA,No,No,Rarely,,No,Yes,No,No,No,No,,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No
27-08-2014 11:29,31,Male,india,TN,NA,Yes,Yes,Often,,No,Yes,No,Yes,No,No,,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No
27-08-2014 11:30,31,Male,india,TN,NA,No,No,Never,,Yes,Yes,Yes,No,Don't know,Don't know,,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know
27-08-2014 11:31,33,Male,india,TN,NA,Yes,No,Sometimes,,No,Yes,Yes,Not sure,No,Don't know,,Don't know,No,No,Yes,Yes,No,Maybe,Don't know
27-08-2014 11:31,35,Female,india,TN,NA,Yes,Yes,Sometimes,,Yes,Yes,No,No,No,No,,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know
27-08-2014 11:32,39,M,india,KL,NA,No,No,Never,,Yes,Yes,No,Yes,No,No,,Don't know,No,No,No,No,No,No,No
27-08-2014 11:32,42,Female,india,KL,NA,Yes,Yes,Sometimes,,No,Yes,Yes,Yes,No,No,,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No
27-08-2014 11:32,23,Male,india,KL,NA,No,No,Never,,No,Yes,Don't know,No,Don't know,Don't know,,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes
27-08-2014 11:32,31,Male,india,KL,NA,No,Yes,Sometimes,,Yes,Yes,Don't know,No,No,No,,Don't know,No,No,Some of them,Yes,No,No,Don't know
27-08-2014 11:32,29,male,india,KL,NA,No,No,Never,,Yes,Yes,Don't know,Not sure,No,No,,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know
27-08-2014 11:33,42,female,india,KL,NA,Yes,Yes,Sometimes,,No,No,Yes,Yes,No,No,,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No
27-08-2014 11:33,36,Male,india,KL,NA,Yes,No,Never,,No,Yes,Don't know,Not sure,No,Don't know,,Don't know,No,No,Yes,Yes,No,No,Don't know
27-08-2014 11:33,27,Male,india,AP,NA,No,No,Never,,No,Yes,Don't know,Not sure,Don't know,Don't know,,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes
27-08-2014 11:34,29,female,india,AP,NA,Yes,Yes,Rarely,,No,Yes,Yes,Not sure,No,No,,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know
27-08-2014 11:34,23,Male,india,AP,NA,No,Yes,Sometimes,,Yes,Yes,Don't know,No,Don't know,Don't know,,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No
27-08-2014 11:34,32,Male,india,AP,NA,No,Yes,Sometimes,,No,Yes,Yes,Yes,No,Don't know,,Don't know,Maybe,No,Some of them,Yes,No,No,No
27-08-2014 11:34,46,male,india,AP,Yes,Yes,No,Sometimes,,Yes,Yes,Yes,Not sure,Yes,Don't know,,Very easy,No,No,Yes,Yes,No,Yes,Yes
